id,unit,fieldName,fieldType,precision,description,databaseName
114,C,Digital Temperature String Value 105,isGeneral,3,DS28EAOO temperature chip located approximately 140 cm below freeboard,dtc_values_105
115,C,Digital Temperature String Value 106,isGeneral,3,DS28EAOO temperature chip located approximately 142 cm below freeboard,dtc_values_106
116,C,Digital Temperature String Value 107,isGeneral,3,DS28EAOO temperature chip located approximately 144 cm below freeboard,dtc_values_107
117,C,Digital Temperature String Value 108,isGeneral,3,DS28EAOO temperature chip located approximately 146 cm below freeboard,dtc_values_108
118,C,Digital Temperature String Value 109,isGeneral,3,DS28EAOO temperature chip located approximately 148 cm below freeboard,dtc_values_109
119,C,Digital Temperature String Value 110,isGeneral,3,DS28EAOO temperature chip located approximately 150 cm below freeboard,dtc_values_110
120,C,Digital Temperature String Value 111,isGeneral,3,DS28EAOO temperature chip located approximately 152 cm below freeboard,dtc_values_111
121,C,Digital Temperature String Value 112,isGeneral,3,DS28EAOO temperature chip located approximately 154 cm below freeboard,dtc_values_112
122,C,Digital Temperature String Value 113,isGeneral,3,DS28EAOO temperature chip located approximately 156 cm below freeboard,dtc_values_113
123,C,Digital Temperature String Value 114,isGeneral,3,DS28EAOO temperature chip located approximately 158 cm below freeboard,dtc_values_114
124,C,Digital Temperature String Value 115,isGeneral,3,DS28EAOO temperature chip located approximately 160 cm below freeboard,dtc_values_115
125,C,Digital Temperature String Value 116,isGeneral,3,DS28EAOO temperature chip located approximately 162 cm below freeboard,dtc_values_116
126,C,Digital Temperature String Value 117,isGeneral,3,DS28EAOO temperature chip located approximately 164 cm below freeboard,dtc_values_117
127,C,Digital Temperature String Value 118,isGeneral,3,DS28EAOO temperature chip located approximately 166 cm below freeboard,dtc_values_118
128,C,Digital Temperature String Value 119,isGeneral,3,DS28EAOO temperature chip located approximately 168 cm below freeboard,dtc_values_119
129,C,Digital Temperature String Value 120,isGeneral,3,DS28EAOO temperature chip located approximately 170 cm below freeboard,dtc_values_120
130,C,Digital Temperature String Value 121,isGeneral,3,DS28EAOO temperature chip located approximately 172 cm below freeboard,dtc_values_121
131,C,Digital Temperature String Value 122,isGeneral,3,DS28EAOO temperature chip located approximately 174 cm below freeboard,dtc_values_122
132,C,Digital Temperature String Value 123,isGeneral,3,DS28EAOO temperature chip located approximately 176 cm below freeboard,dtc_values_123
133,C,Digital Temperature String Value 124,isGeneral,3,DS28EAOO temperature chip located approximately 178 cm below freeboard,dtc_values_124
134,C,Digital Temperature String Value 125,isGeneral,3,DS28EAOO temperature chip located approximately 180 cm below freeboard,dtc_values_125
135,C,Digital Temperature String Value 126,isGeneral,3,DS28EAOO temperature chip located approximately 182 cm below freeboard,dtc_values_126
136,C,Digital Temperature String Value 127,isGeneral,3,DS28EAOO temperature chip located approximately 184 cm below freeboard,dtc_values_127
137,C,Digital Temperature String Value 128,isGeneral,3,DS28EAOO temperature chip located approximately 186 cm below freeboard,dtc_values_128
138,C,Digital Temperature String Value 129,isGeneral,3,DS28EAOO temperature chip located approximately 188 cm below freeboard,dtc_values_129
139,C,Digital Temperature String Value 130,isGeneral,3,DS28EAOO temperature chip located approximately 190 cm below freeboard,dtc_values_130
140,C,Digital Temperature String Value 131,isGeneral,3,DS28EAOO temperature chip located approximately 192 cm below freeboard,dtc_values_131
141,C,Digital Temperature String Value 132,isGeneral,3,DS28EAOO temperature chip located approximately 194 cm below freeboard,dtc_values_132
142,C,Digital Temperature String Value 133,isGeneral,3,DS28EAOO temperature chip located approximately 196 cm below freeboard,dtc_values_133
143,C,Digital Temperature String Value 134,isGeneral,3,DS28EAOO temperature chip located approximately 198 cm below freeboard,dtc_values_134
144,C,Digital Temperature String Value 135,isGeneral,3,DS28EAOO temperature chip located approximately 200 cm below freeboard,dtc_values_135
145,C,Digital Temperature String Value 136,isGeneral,3,DS28EAOO temperature chip located approximately 202 cm below freeboard,dtc_values_136
146,C,Digital Temperature String Value 137,isGeneral,3,DS28EAOO temperature chip located approximately 204 cm below freeboard,dtc_values_137
147,C,Digital Temperature String Value 138,isGeneral,3,DS28EAOO temperature chip located approximately 206 cm below freeboard,dtc_values_138
148,C,Digital Temperature String Value 139,isGeneral,3,DS28EAOO temperature chip located approximately 208 cm below freeboard,dtc_values_139
149,C,Digital Temperature String Value 140,isGeneral,3,DS28EAOO temperature chip located approximately 210 cm below freeboard,dtc_values_140
150,C,Digital Temperature String Value 141,isGeneral,3,DS28EAOO temperature chip located approximately 212 cm below freeboard,dtc_values_141
151,C,Digital Temperature String Value 142,isGeneral,3,DS28EAOO temperature chip located approximately 214 cm below freeboard,dtc_values_142
152,C,Digital Temperature String Value 143,isGeneral,3,DS28EAOO temperature chip located approximately 216 cm below freeboard,dtc_values_143
153,C,Digital Temperature String Value 144,isGeneral,3,DS28EAOO temperature chip located approximately 218 cm below freeboard,dtc_values_144
154,C,Digital Temperature String Value 145,isGeneral,3,DS28EAOO temperature chip located approximately 220 cm below freeboard,dtc_values_145
155,C,Digital Temperature String Value 146,isGeneral,3,DS28EAOO temperature chip located approximately 222 cm below freeboard,dtc_values_146
156,C,Digital Temperature String Value 147,isGeneral,3,DS28EAOO temperature chip located approximately 224 cm below freeboard,dtc_values_147
157,C,Digital Temperature String Value 148,isGeneral,3,DS28EAOO temperature chip located approximately 226 cm below freeboard,dtc_values_148
158,C,Digital Temperature String Value 149,isGeneral,3,DS28EAOO temperature chip located approximately 228 cm below freeboard,dtc_values_149
159,C,Digital Temperature String Value 150,isGeneral,3,DS28EAOO temperature chip located approximately 230 cm below freeboard,dtc_values_150
160,C,Digital Temperature String Value 151,isGeneral,3,DS28EAOO temperature chip located approximately 232 cm below freeboard,dtc_values_151
161,C,Digital Temperature String Value 152,isGeneral,3,DS28EAOO temperature chip located approximately 234 cm below freeboard,dtc_values_152
162,C,Digital Temperature String Value 153,isGeneral,3,DS28EAOO temperature chip located approximately 236 cm below freeboard,dtc_values_153
163,C,Digital Temperature String Value 154,isGeneral,3,DS28EAOO temperature chip located approximately 238 cm below freeboard,dtc_values_154
164,C,Digital Temperature String Value 155,isGeneral,3,DS28EAOO temperature chip located approximately 240 cm below freeboard,dtc_values_155
165,C,Digital Temperature String Value 156,isGeneral,3,DS28EAOO temperature chip located approximately 242 cm below freeboard,dtc_values_156
166,C,Digital Temperature String Value 157,isGeneral,3,DS28EAOO temperature chip located approximately 244 cm below freeboard,dtc_values_157
167,C,Digital Temperature String Value 158,isGeneral,3,DS28EAOO temperature chip located approximately 246 cm below freeboard,dtc_values_158
168,C,Digital Temperature String Value 159,isGeneral,3,DS28EAOO temperature chip located approximately 248 cm below freeboard,dtc_values_159
